All,Sample,
1979,1984,
1979,1999,
1984,2001,
1984,2003,
1985,2004,
1993,2005,
1995,2007,
1995,2007,
1996,2009,
1997,2009,
1999,2009,
1999,2009,
2000,2010,
2000,2011,
2001,2012,
2001,2012,
2001,2012,
2001,2013,
2002,2013,
2003,2013,
2003,2013,
2003,2014,
2004,2014,
2004,2014,
2004,2014,
2005,2014,
2005,2014,
2005,2014,
2005,2014,
2005,2014,
2006,2014,
2007,2015,
2007,2015,
2007,2015,
2007,2015,
2007,2015,
2007,2015,
2007,2015,
2007,2015,
2007,2015,
2008,2015,
2008,2015,
2008,2015,
2008,2016,
2008,2016,
2008,2016,
2008,2016,
2009,2016,
2009,2016,
2009,2016,
2009,2016,
2009,2016,
2009,2016,
2009,2016,
2009,2017,
2009,2017,
2009,2017,
2009,2017,
2009,2017,
2010,2017,
2010,2017,
2010,2017,
2010,2017,
2010,2017,
2010,2018,
2010,2018,
2010,2018,
2010,2018,
2010,2018,
2010,2018,
2010,2018,
2010,2018,
2010,2018,
2010,2018,
2010,2018,
2011,2018,
2011,2018,
2011,2018,
2011,2018,
2011,2019,
2011,2019,
2011,2019,
2011,2019,
2011,2019,
2011,2019,
2011,2019,
2011,2019,
2011,2019,
2011,2019,
2012,2019,
2012,2019,
2012,2019,
2012,2019,
2012,2019,
2012,2019,
2012,2019,
2012,2019,
2012,2019,
2012,2019,
2012,2019,
2012,2019,
2012,2019,
2012,2020,
2012,2020,
2012,2020,
2012,2020,
2012,2020,
2012,2020,
2012,2020,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
